Arrival,date,ID,location,mass,svl,dead,sex,year,Day_of_the_year
First,2023-04-13,BV_SH_2156,FT W 4,27.36,64,0,m,2023,103
First,2023-03-30,BV_SH_2275,FT L 2,23.68,58.8,0,m,2023,89
First,2023-03-25,BV_SH_2296,FT L 1,27.23,66,0,m,2023,84
First,2023-04-17,BV_SH_2303,FT W 4,27.65,61.9,0,m,2023,107
First,2023-04-26,BV_SH_2305,FT L 2,29.26,64.900000000000006,0,m,2023,116
Last,2021-04-29,BV_SH_1466,T6,20.85,60.01,0,m,2021,119
Last,2021-06-10,BV_SH_1508,T6,13.2,56.67,0,m,2021,161
Last,2021-06-10,BV_SH_1513,T,25.3,63,0,m,2021,161
Last,2021-07-15,BV_SH_1790,T3,21.66,62.08,0,m,2021,196
Last,2021-05-10,BV_SH_1812,T1,17.579999999999998,57.63,0,m,2021,130
Last,2021-05-10,BV_SH_1874,S16,15.52,56.9,0,m,2021,130
Last,2021-06-22,BV_SH_1940,T4,16.510000000000002,55.83,0,m,2021,173
Last,2021-06-10,BV_SH_1989,S15,16.05,54.99,0,m,2021,161
Last,2021-05-10,BV_SH_2014,T5,15.18,57.75,0,m,2021,130
Last,2021-06-28,BV_SH_2058,T4,23.18,68.180000000000007,0,m,2021,179
Last,2021-06-10,BV_SH_2145,T1,19.100000000000001,63.2,0,m,2021,161
Last,2021-06-28,BV_SH_2156,T3,19.5,59.54,0,m,2021,179
Last,2021-06-28,BV_SH_2275,T3,20.8,58.13,0,m,2021,179
Last,2021-06-22,BV_SH_2296,T3,17.18,61.42,0,m,2021,173
Last,2021-06-22,BV_SH_2303,T4,17.8,60.94,0,m,2021,173
Last,2021-07-15,BV_SH_2305,S15,23.11,61.16,0,m,2021,196
Last,2022-04-28,BV_SH_1466,FT,23.57,61,0,m,2022,118
Last,2022-05-23,BV_SH_1508,FT,17.7,63,0,m,2022,143
Last,2022-04-21,BV_SH_1513,FT,28.37,66,0,m,2022,111
Last,2022-05-23,BV_SH_1790,FT,21.72,67,0,m,2022,143
Last,2022-04-28,BV_SH_1812,FT,22.47,62,0,m,2022,118
Last,2022-04-28,BV_SH_1874,FT,22.75,59,0,m,2022,118
Last,2022-04-28,BV_SH_1940,FT,25.29,65,0,m,2022,118
Last,2022-04-28,BV_SH_1989,FT,22.1,62,0,m,2022,118
Last,2022-04-28,BV_SH_2014,FT,18.04,60,0,m,2022,118
Last,2022-04-28,BV_SH_2058,FT,31.04,70,0,m,2022,118
Last,2022-04-13,BV_SH_2145,FT,24.78,68,0,m,2022,103
Last,2022-04-13,BV_SH_2156,FT,23,60,0,m,2022,103
Last,2022-04-28,BV_SH_2275,FT,22.08,62,0,m,2022,118
Last,2022-06-19,BV_SH_2296,FT,20.95,66,0,m,2022,170
Last,2022-05-23,BV_SH_2303,FT,20.62,62,0,m,2022,143
Last,2022-06-15,BV_SH_2305,FT,27.27,66,0,m,2022,166
Last,2023-04-17,BV_SH_1466,FT W 3,26.97,60.8,0,m,2023,107
Last,2023-07-03,BV_SH_1508,FT L 4,17.41,58,0,m,2023,184
Last,2023-04-19,BV_SH_1513,FT L 1,31.34,68.2,0,m,2023,109
Last,2023-05-09,BV_SH_1790,FT L 1,23.65,62,0,m,2023,129
Last,2023-06-14,BV_SH_1812,FT L 2,21.11,62,0,m,2023,165
Last,2023-05-09,BV_SH_1874,FT L 2,22.23,59,0,m,2023,129
Last,2023-04-27,BV_SH_1940,FT W 3,28.26,66.900000000000006,0,m,2023,117
Last,2023-03-13,BV_SH_1989,FT L 4,30.5,66,0,m,2023,72
Last,2023-05-24,BV_SH_2014,FT W 1,17.55,59,0,m,2023,144
Last,2023-05-04,BV_SH_2058,FT W 1,31.63,70.5,0,m,2023,124
Last,2023-04-17,BV_SH_2145,FT W 1,28.66,63,0,m,2023,107
Last,2023-05-04,BV_SH_2156,FT W 2,24.18,63,0,m,2023,124
Last,2023-04-19,BV_SH_2275,FT W 2,22.57,58.1,0,m,2023,109
Last,2023-04-19,BV_SH_2296,FT L 1,24.74,68.599999999999994,0,m,2023,109
Last,2023-05-30,BV_SH_2303,FT L 1,20.88,61,0,m,2023,150
Last,2023-05-15,BV_SH_2305,FT W 2,28.82,61.5,0,m,2023,135
